antecedents,consequents,orig_support,orig_confidence,Reject Option Classification_support,Reject Option Classification_confidence,Equalized Odds_support,Equalized Odds_confidence,Calibrated EO_support,Calibrated EO_confidence
"frozenset({'juv_fel=0', 'n_recidive', 'white'})",frozenset({'risk_low'}),0.199,0.854,0.233,0.995,,,0.209,0.896
"frozenset({'n_recidive', 'c_felony', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.114,0.854,0.133,1.0,,,0.119,0.894
"frozenset({'juv_fel=0', 'white', 'juv_misd=0', 'n_recidive', 'c_felony'})",frozenset({'risk_low'}),0.114,0.854,0.133,1.0,,,0.119,0.894
"frozenset({'n_recidive', 'white'})",frozenset({'risk_low'}),0.199,0.852,0.233,0.995,,,0.209,0.894
"frozenset({'male', 'juv_fel=0', 'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.1,0.845,0.118,0.991,,,0.111,0.936
"frozenset({'n_recidive', 'c_felony', 'white'})",frozenset({'risk_low'}),0.115,0.845,0.136,1.0,,,0.12,0.884
"frozenset({'juv_fel=0', 'n_recidive', 'c_felony', 'white'})",frozenset({'risk_low'}),0.115,0.845,0.136,1.0,,,0.12,0.884
"frozenset({'juv_fel=0', 'c_misdemeanor', 'priors_No'})",frozenset({'risk_low'}),0.102,0.836,0.121,0.996,,,0.119,0.978
"frozenset({'c_misdemeanor', 'priors_No'})",frozenset({'risk_low'}),0.102,0.836,0.121,0.996,,,0.119,0.978
"frozenset({'c_misdemeanor', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.102,0.836,0.121,0.996,,,0.119,0.978
"frozenset({'juv_fel=0', 'c_misdemeanor', 'priors_No', 'juv_misd=0'})",frozenset({'risk_low'}),0.102,0.836,0.121,0.996,,,0.119,0.978
"frozenset({'male', 'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.1,0.833,0.119,0.991,,,0.112,0.932
"frozenset({'juv_fel=0', 'c_misdemeanor', 'white', 'juv_misd=0'})",frozenset({'risk_low'}),0.129,0.829,0.153,0.986,,,0.139,0.895
"frozenset({'male', 'c_misdemeanor', 'white', 'juv_fel=0'})",frozenset({'risk_low'}),0.102,0.828,0.122,0.991,,,0.113,0.921
"frozenset({'c_misdemeanor', 'juv_misd=0', 'white'})",frozenset({'risk_low'}),0.129,0.821,0.155,0.986,,,0.14,0.893
"frozenset({'juv_fel=0', 'c_misdemeanor', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.151,0.821,0.182,0.988,,,0.177,0.959
"frozenset({'male', 'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.102,0.817,0.124,0.991,,,0.114,0.917
"frozenset({'n_recidive', 'juv_misd=0', 'c_misdemeanor'})",frozenset({'risk_low'}),0.151,0.813,0.183,0.985,,,0.178,0.956
"frozenset({'juv_fel=0', 'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.131,0.812,0.159,0.987,,,0.141,0.876
"frozenset({'male', 'juv_fel=0', 'c_misdemeanor', 'juv_misd=0', 'n_recidive'})",frozenset({'risk_low'}),0.111,0.81,0.136,0.992,,,0.134,0.984
"frozenset({'juv_fel=0', 'n_recidive', 'c_misdemeanor'})",frozenset({'risk_low'}),0.153,0.806,0.188,0.986,,,0.182,0.954
"frozenset({'c_misdemeanor', 'white'})",frozenset({'risk_low'}),0.131,0.804,0.161,0.987,,,0.143,0.874
